U_WN	Y_BC	Y_SD	Y_FB	U_CN	Y_CN	U_SF	Y_SF	Y_FT	Y_SO	Z_SP
Y_BC	Y_SD	Y_FB	Y_CN	Y_SF	Y_FT	Y_SO
U_WN
U_WN
U_WN
Y_CN
U_CN
Y_SF
U_SF
U_WN
U_WN

-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
10	10	10	10	10	10	10	10	10	10	10
-1,233645733	-0,035979338	-0,074812039	0,005596841	-0,062234794	-0,009484135	-0,008824257	9,957378709	9,957378709	-1,599911433	-0,012804366
-0,145793768	-0,112240956	-0,213038833	0,045385544	-0,179747403	-0,011138235	-0,009098835	9,756922932	9,756922932	2,490409325	-0,034106373
-0,49214141	0,006800411	0,031987145	0,001023177	0,067211478	-0,008840886	-0,009253291	9,925187961	9,925187961	-1,070532936	-0,04217806
0,483000537	-0,043262083	-0,067939336	0,004615753	-0,040543258	-0,00986073	-0,009274078	9,786961167	9,786961167	-2,399352131	-0,037387949
1,749919339	-0,156542065	-0,279246033	0,077978347	-0,230530259	-0,012305854	-0,009609489	10,03198715	10,03198715	-0,012341502	-0,063523498
-0,274275611	-0,155519229	-0,255055244	0,065053178	-0,178561923	-0,012572563	-0,010123243	9,932060664	9,932060664	-0,729227575	-0,104167828
0,245622136	-0,187553065	-0,29803167	0,088822876	-0,200818117	-0,013530743	-0,010656996	9,720753967	9,720753967	1,264032744	-0,142636188
1,677336227	-0,123741453	-0,156454566	0,024478031	-0,054995253	-0,012538672	-0,011084977	9,744944756	9,744944756	3,656293244	-0,166117944
-1,975769663	0,054560945	0,189112358	0,035763484	0,251590897	-0,009017279	-0,011018588	9,70196833	9,70196833	-0,73766358	-0,138239298
0,102220002	0,02326801	0,105114379	0,011049033	0,123435399	-0,009547265	-0,010705464	9,843545434	9,843545434	0,386129893	-0,088348945
0,104171103	0,044427802	0,130584111	0,01705221	0,123229571	-0,009037437	-0,010447755	10,18911236	10,18911236	3,224088344	-0,047646906
1,639398495	0,199819584	0,410962671	0,168890317	0,359094281	-0,00566806	-0,009876451	10,10511438	10,10511438	-4,362501997	0,019366035
-0,199358372	-0,007215106	-0,021678453	0,000469955	-0,084975781	-0,009604325	-0,009482365	10,13058411	10,13058411	0,226118456	0,061187428
-0,631846105	0,003199022	0,000780524	6,09E-07	-0,040111224	-0,0093809	-0,009483541	10,41096267	10,41096267	0,207561682	0,059780127
0,453822023	0,012807786	0,019522054	0,000381111	-0,009715929	-0,009154023	-0,009443681	9,978321547	9,978321547	3,259274937	0,060227738
-0,026640296	0,167598357	0,313155804	0,098066558	0,263724428	-0,005860213	-0,009082597	10,00078052	10,00078052	-0,711872547	0,090031141
0,564311535	0,132677807	0,220252756	0,048511276	0,143918067	-0,006246823	-0,008534697	10,01952205	10,01952205	-1,483944967	0,13297021
-1,269612261	0,059923738	0,065793454	0,004328779	-0,007681666	-0,007496771	-0,008237076	10,3131558	10,3131558	0,841850592	0,145996974
-0,629738745	0,097408116	0,136131093	0,018531674	0,069658497	-0,006575055	-0,008016532	10,22025276	10,22025276	-0,189411684	0,148551495
-0,483842465	0,085603349	0,106625649	0,011369029	0,042302221	-0,006615146	-0,007758992	10,06579345	10,06579345	1,021997421	0,152353893
-1,123780682	0,131158455	0,189590016	0,035944374	0,12137678	-0,005474433	-0,007444781	10,13613109	10,13613109	-2,728814538	0,159757458
1,149296245	-0,002142502	-0,074918453	0,005612775	-0,127920473	-0,008000183	-0,00732424	10,10662565	10,10662565	-1,184559037	0,146047535
0,726458226	-0,061866181	-0,175490298	0,030796845	-0,189553507	-0,009242417	-0,007563145	10,18959002	10,18959002	-0,792194632	0,098104415
