U	Z	BC	SD	FB	CN	SF	FT	SO
-0,724587092	0,010796038	0,018950193	0,00035911	-1,06E-05	-0,037272132	10,01895019	1,339143746	0,016616366
0,758642776	0,074388522	0,138605425	0,019211464	0,111926482	-0,037036242	10,13860542	2,395388513	0,03208365
-0,79088764	0,18788022	0,343148088	0,11775061	0,283877561	-0,036474096	10,34314809	0,128500037	0,07696896
0,752517364	0,19244268	0,323693545	0,104777511	0,229162293	-0,0357357	10,32369354	-0,293959747	0,13350763
2,280011377	0,17554411	0,267712777	0,071670131	0,156063059	-0,035075366	10,26771278	-1,716886961	0,17577555
-1,117413755	0,089885301	0,087839347	0,007715751	-0,014827972	-0,034656134	10,08783935	1,429446204	0,188669714
-1,630000794	0,153525989	0,209435366	0,043863173	0,1151146	-0,034285827	10,20943537	-1,791210645	0,193649984
-1,136136253	0,06365315	0,028107588	0,000790037	-0,053205537	-0,033986113	10,02810759	1,476927139	0,18886257
-1,110315967	0,129207247	0,159420788	0,025414988	0,088379585	-0,033726454	10,15942079	4,400601966	0,179262308
1,281193463	0,333883321	0,543818604	0,295738674	0,435078109	-0,032943611	10,5438186	-2,778646115	0,219736218
0,454277321	0,195774144	0,242688299	0,058897611	0,107448558	-0,032102191	10,2426883	-3,502689887	0,260141532
0,917199104	0,022028688	-0,096772604	0,009364937	-0,196663036	-0,03190369	9,903227396	-2,175499901	0,233451048
0,216240156	-0,088185278	-0,285177249	0,081326063	-0,319107311	-0,032227848	9,714822751	-1,935454685	0,157469803
-0,284490877	-0,185453873	-0,434749507	0,189007133	-0,396928144	-0,032887691	9,565250493	2,997136432	0,055532935
-0,309685813	-0,045883926	-0,123701851	0,015302148	-0,054878493	-0,03336942	9,876298149	1,032256494	-0,018529068
-0,028234194	0,001712709	-0,018932014	0,000358421	0,038096501	-0,033441717	9,981067986	1,853330221	-0,044357606
0,898255721	0,088832758	0,15075975	0,022728502	0,176727319	-0,033237501	10,15075975	0,281720562	-0,038115874
-0,366158299	0,100957175	0,162629333	0,0264483	0,154108986	-0,032857618	10,16262933	-0,731611087	-0,012935822
0,546139369	0,064276943	0,081580198	0,006655329	0,056407302	-0,032550727	10,0815802	-0,700951824	0,004951783
-1,203867341	0,028689682	0,010655711	0,000113544	-0,013237351	-0,032395931	10,01065571	-0,0671241	0,007947947
