Presure	MagVol	GenVol	Speed
1,436298077	2,058445894	-0,941597031	-0,408458295
-1,533176893	-2,000162164	0,218354129	-0,420668307
-1,542944902	-2,000162164	-0,985553075	-0,489044376
-1,542944902	2,073097909	-1,158935249	-0,467066354
-1,562480922	-2,000162164	0,179282089	-0,437762324
-1,557596917	2,063329899	-1,039277129	-0,552536439
-1,538060897	2,058445894	0,135326045	-0,511022398
1,421646062	-2,000162164	0,262310172	-0,584282471
1,421646062	2,058445894	-1,058813149	-0,535442422
-1,542944902	-2,000162164	0,196376107	-0,498812386
1,455834096	2,058445894	-0,944039034	-0,435320322
1,436298077	2,063329899	0,396620307	-0,279032166
1,441182082	-2,014814179	0,687218597	-0,152048039
1,431414072	2,038909875	-0,702280792	-0,130070017
-1,533176893	2,068213904	0,67989259	0,035986149
-1,523408883	2,058445894	0,928976839	0,055522169
1,450950092	-2,000162164	0,99979491	0,10680422
1,441182082	-2,000162164	-0,577738668	0,035986149
-1,538060897	2,058445894	-0,807286897	0,055522169
1,441182082	-2,000162164	0,797108707	0,114130227
1,436298077	-2,000162164	-0,558202648	0,153202266
-1,533176893	2,063329899	-0,748678839	0,167854281
1,426530067	2,058445894	0,875252785	0,189832303
1,450950092	2,082865919	1,080380991	0,192274306
1,450950092	-2,005046169	1,148757059	0,199600313
-1,518524878	2,087749924	-0,445870536	0,204484318
-1,528292888	2,058445894	0,977816888	0,292396406
-1,523408883	-1,995278159	1,158525069	0,270418384
1,426530067	2,063329899	-0,46052255	0,245998359
1,441182082	-1,995278159	0,828854739	0,111688225
-1,533176893	-2,000162164	-0,619252709	0,075058188
-1,518524878	2,063329899	-0,814612904	0,021334135
-1,528292888	-1,990394154	0,740942651	0,026218139
1,436298077	2,048677885	-0,687628777	-0,007969895
1,431414072	2,058445894	0,555350466	-0,196004083
1,441182082	2,068213904	0,696986607	-0,154490041
-1,513640873	-2,000162164	0,79955071	-0,10320799
-1,518524878	-2,000162164	-0,650998741	0,026218139
1,431414072	2,053561889	-0,824380914	0,011566125
1,441182082	2,053561889	0,758036668	0,043312157
1,446066087	2,038909875	0,955838866	0,082384196
1,446066087	-2,014814179	1,026656937	0,138550252
-1,538060897	-1,990394154	-0,509362599	0,184948298
1,431414072	-1,990394154	-0,716932807	0,209368323
-1,538060897	-2,000162164	-0,729142819	0,192274306
-1,542944902	-1,995278159	-0,731584821	0,211810325
-1,528292888	2,063329899	-0,719374809	0,211810325
